Current Semester,Gender,How often do you spend time with your friends,How often do you visit faculties outside class,Average Attendance,How attentive are you in class,Participation in co-curricular and extra curricular activities,Study Time per day,How much time do you spend on social media,Previous semester scores,How often do you take extra courses,Rate your health,How many hours do you sleep a day,How much time do you spend in library,Enter you group name,Decision
4,Female,Moderate,Moderate,<75,Very attentive,High,>4 hours,<1 hour,>5 but <7 GPA,Never,4,6 to 8,<1 hour,,5
2,Female,Moderate,Moderate,>85,Very attentive,Moderate,<1 hour,1 to 4 hours,>5 but <7 GPA,Never,4,6 to 8,<1 hour,,7
1,Female,High,Moderate,85 to 75,Average,Low,<1 hour,<1 hour,<5 GPA,Sometimes,1,6 to 8,>4 hours,,10
2,Female,Moderate,Low,>85,Average,Low,<1 hour,>4 hours,>5 but <7 GPA,Sometimes,3,6 to 8,<1 hour,,7
7,Male,Moderate,High,>85,Average,High,<1 hour,>4 hours,>9 GPA,Never,1,>8,<1 hour,,8
2,Female,High,High,85 to 75,Average,Moderate,>4 hours,1 to 4 hours,>5 but <7 GPA,Sometimes,4,<6,<1 hour,,4
2,Female,Low,High,85 to 75,Very attentive,High,<1 hour,<1 hour,>9 GPA,Often,4,<6,<1 hour,,10
5,Female,Moderate,Moderate,>85,Very attentive,High,>4 hours,>4 hours,>5 but <7 GPA,Never,2,<6,>4 hours,,4
8,Male,Low,High,<75,Less attentive,Low,>4 hours,1 to 4 hours,>5 but <7 GPA,Often,5,6 to 8,1 to 4 hours,,9
7,Female,Low,Moderate,85 to 75,Average,Moderate,<1 hour,<1 hour,<5 GPA,Often,5,>8,>4 hours,,10
1,Male,Moderate,Low,>85,Very attentive,Moderate,1 to 4 hours,<1 hour,>5 but <7 GPA,Never,2,>8,<1 hour,,4
4,Male,Low,Low,<75,Less attentive,High,<1 hour,<1 hour,>5 but <7 GPA,Sometimes,1,6 to 8,<1 hour,,6
4,Male,Low,Low,<75,Average,Low,1 to 4 hours,1 to 4 hours,>7 but <9 GPA,Never,4,6 to 8,>4 hours,,9
6,Female,Low,Low,85 to 75,Average,Moderate,>4 hours,1 to 4 hours,<5 GPA,Often,4,6 to 8,>4 hours,,10
7,Male,High,High,>85,Average,High,>4 hours,<1 hour,<5 GPA,Never,1,>8,>4 hours,,9
5,Male,Moderate,Low,85 to 75,Very attentive,Low,>4 hours,>4 hours,>7 but <9 GPA,Often,1,6 to 8,<1 hour,,7
4,Female,High,High,>85,Average,Low,<1 hour,>4 hours,<5 GPA,Sometimes,2,>8,1 to 4 hours,,5
2,Female,Low,Moderate,>85,Very attentive,Low,1 to 4 hours,1 to 4 hours,>9 GPA,Never,1,6 to 8,>4 hours,,5
6,Female,Moderate,High,<75,Average,High,1 to 4 hours,1 to 4 hours,>5 but <7 GPA,Sometimes,4,<6,1 to 4 hours,,9
7,Female,Moderate,High,<75,Very attentive,Moderate,<1 hour,>4 hours,<5 GPA,Never,2,<6,<1 hour,,4
1,Female,High,Low,<75,Less attentive,High,>4 hours,<1 hour,>7 but <9 GPA,Often,3,>8,1 to 4 hours,,9
