semester,gender,friends_time,faculty_time,attendance,attentiveness,study_time,social_time,previous_score,sleep_time,library_time,group_name,Decision
1,male,sometimes,sometimes,85 to 75,High,>4,1 to 4,<5,6 to 8,<1,,<5
5,male,sometimes,never,>85,High,>4,1 to 4,<5,6 to 8,1 to 4,,<5
3,female,never,often,>85,Moderate,>4,<1,<5,6 to 8,<1,,<5
6,female,never,never,>85,Moderate,>4,<1,<5,6 to 8,>4,,<5
3,female,sometimes,sometimes,>85,High,>4,<1,<5,6 to 8,>4,,>9
5,female,sometimes,often,>85,High,>4,<1,<5,6 to 8,1 to 4,,>9
6,male,never,often,>85,High,>4,1 to 4,<5,6 to 8,1 to 4,,5 to 7
6,female,sometimes,sometimes,>85,High,>4,<1,<5,<6,<1,,5 to 7
8,male,often,never,>85,High,1 to 4,1 to 4,<5,<6,1 to 4,,5 to 7
6,female,often,sometimes,>85,High,1 to 4,<1,<5,6 to 8,1 to 4,,5 to 7
7,female,sometimes,often,85 to 75,High,1 to 4,1 to 4,<5,<6,>4,,5 to 7
4,male,never,often,85 to 75,High,1 to 4,<1,<5,6 to 8,1 to 4,,5 to 7
1,female,often,often,>85,Moderate,>4,1 to 4,<5,6 to 8,1 to 4,,5 to 7
1,male,often,sometimes,>85,High,>4,>4,<5,6 to 8,<1,,7 to 9
5,female,often,sometimes,>85,High,>4,>4,<5,<6,<1,,7 to 9
3,female,sometimes,never,>85,High,>4,<1,<5,6 to 8,<1,,7 to 9
2,male,never,sometimes,>85,High,>4,1 to 4,<5,<6,>4,,7 to 9
7,male,sometimes,sometimes,>85,High,1 to 4,<1,<5,6 to 8,1 to 4,,7 to 9
8,female,sometimes,never,>85,High,>4,<1,>9,6 to 8,>4,,<5
6,male,sometimes,sometimes,>85,High,>4,<1,>9,6 to 8,1 to 4,,<5
1,male,often,sometimes,>85,High,<1,<1,>9,6 to 8,1 to 4,,>9
4,female,sometimes,sometimes,>85,High,>4,>4,>9,6 to 8,<1,,>9
